y_true,y_pred,y_pred2
0.0,0.18923580944538115,0.8333333333333334
0.0,0.054203440248966214,0.3333333333333333
0.0,0.12859497517347335,0.5
1.0,0.8045131802558899,1.0
0.0,0.17686625346541404,0.5
0.0,0.3384668558835983,0.5
0.0,0.15969253554940224,0.3333333333333333
1.0,0.2969524160027504,1.0
0.0,0.01234333086758852,0.3333333333333333
0.0,0.007210815598955378,0.3333333333333333
1.0,0.30725907534360886,1.0
0.0,0.1746252194046974,0.3333333333333333
0.0,0.08799731554463505,0.3333333333333333
0.0,0.1255792945623398,0.3333333333333333
0.0,0.34442171454429626,1.0
0.0,0.01238953450229019,0.3333333333333333
1.0,0.9429877996444702,1.0
0.0,0.43075714707374574,0.6666666666666666
0.0,0.11952146962285042,0.3333333333333333
0.0,0.11757851615548134,0.3333333333333333
1.0,0.8957306981086731,1.0
1.0,0.8831593751907348,1.0
1.0,0.7636994123458862,1.0
1.0,0.6894479751586914,1.0
0.0,0.2019064024090767,0.3333333333333333
0.0,0.18294219337403775,0.3333333333333333
0.0,0.009266883332747966,0.3333333333333333
0.0,0.15110116004943847,0.3333333333333333
0.0,0.03211633833125234,0.3333333333333333
1.0,0.7100925981998444,1.0
0.0,0.05500707291066646,0.3333333333333333
0.0,0.02961845453828573,0.3333333333333333
0.0,0.12542931661009787,0.3333333333333333
0.0,0.07105638161301613,0.3333333333333333
0.0,0.15565599203109742,0.5
0.0,0.11148440688848496,0.3333333333333333
0.0,0.16678931415081025,0.5
0.0,0.08045640662312507,0.3333333333333333
0.0,0.15272873267531395,0.3333333333333333
0.0,0.1462537683546543,0.3333333333333333
0.0,0.14610361009836198,0.3333333333333333
1.0,0.0982104716822505,0.3333333333333333
0.0,0.1391262337565422,0.3333333333333333
0.0,0.04970119372010231,0.3333333333333333
1.0,0.839570152759552,1.0
1.0,0.8959474444389344,1.0
0.0,0.11939208805561066,0.3333333333333333
0.0,0.03904276266694069,0.3333333333333333
0.0,0.1322898305952549,0.3333333333333333
0.0,0.024934950284659863,0.3333333333333333
0.0,0.11782731264829635,0.3333333333333333
0.0,0.26186199188232423,0.5
0.0,0.22892907857894898,1.0
1.0,0.4973306983709335,1.0
0.0,0.07000241167843342,0.3333333333333333
0.0,0.720908397436142,0.8333333333333334
0.0,0.1573888160288334,0.8333333333333334
0.0,0.20864835977554322,0.3333333333333333
0.0,0.2041534513235092,0.5
0.0,0.12959778159856797,0.5
0.0,0.10636152103543281,0.3333333333333333
0.0,0.26677917689085007,0.3333333333333333
0.0,0.15136634111404418,0.5
1.0,0.3890938460826874,1.0
1.0,0.4903649270534515,0.8333333333333334
0.0,0.11948249749839306,0.3333333333333333
0.0,0.08480686284601688,0.3333333333333333
0.0,0.1573186069726944,0.3333333333333333
0.0,0.11206207200884818,0.3333333333333333
1.0,0.5385814905166626,1.0
0.0,0.14245034754276276,0.3333333333333333
1.0,0.2673352986574173,0.3333333333333333
0.0,0.06459764391183853,0.6666666666666666
1.0,0.6959278106689453,1.0
0.0,0.1224890947341919,0.3333333333333333
0.0,0.11079656109213828,0.3333333333333333
0.0,0.1401251696050167,0.3333333333333333
0.0,0.09705673605203628,0.3333333333333333
0.0,0.041295457351952794,0.3333333333333333
0.0,0.08735246323049069,0.3333333333333333
0.0,0.1260859988629818,0.3333333333333333
0.0,0.20233006328344344,0.3333333333333333
0.0,0.11009122543036938,0.3333333333333333
1.0,0.24528799057006836,0.5
0.0,0.16865868270397186,0.3333333333333333
1.0,0.27313176840543746,0.5
0.0,0.012367704114876688,0.3333333333333333
0.0,0.09809727780520916,0.3333333333333333
0.0,0.18052579313516617,0.3333333333333333
0.0,0.22070783972740174,0.3333333333333333
0.0,0.18563084900379181,0.3333333333333333
0.0,0.07697097510099411,0.3333333333333333
0.0,0.03182958781253546,0.3333333333333333
1.0,0.6390174031257629,1.0
1.0,0.3461092919111252,0.5
0.0,0.07047116123139859,0.3333333333333333
0.0,0.06059679556638002,0.3333333333333333
0.0,0.045788209140300754,0.3333333333333333
1.0,0.4222791612148285,0.8333333333333334
1.0,0.15219765827059745,0.5
0.0,0.22238405495882035,0.3333333333333333
0.0,0.051579727046191695,0.3333333333333333
0.0,0.1474083624780178,0.3333333333333333
1.0,0.4910270214080811,0.5
0.0,0.057327646762132645,0.3333333333333333
0.0,0.11384624056518078,0.5
0.0,0.0373140836134553,0.3333333333333333
0.0,0.12451053746044635,0.5
0.0,0.11612386628985405,0.5
0.0,0.015513439162168652,0.3333333333333333
0.0,0.17310622408986093,0.3333333333333333
0.0,0.15281157940626144,0.5
